name,description,topics,languages,last_updated,watchers,forks,stars,branches,tags
heal-research/operon,C++ Large Scale Genetic Programming,"['python', 'machine-learning', 'cmake', 'cpp', 'genetic-algorithm', 'symbolic-regression', 'genetic-programming', 'vcpkg', 'python-bindings', 'cpp17', 'mathematical-expressions', 'optimization-algorithms']","['C++: 92.4%', 'CMake: 6.8%', '\n\n\n\nOther\n0.8%\n: Other']",,6,12,42,2,0
heal-research/SimSharp,"Sim# is a .NET port of SimPy, process-based discrete event simulation framework","['c-sharp', 'simulation', 'discrete-event']",['C#: 100.0%'],"May 4, 2020",17,25,85,3,14
heal-research/pyoperon,,[],"['C++: 53.7%', 'Python: 24.5%', 'CMake: 18.6%', 'Nix: 3.2%']",,6,0,0,1,0
heal-research/vstat,"SIMD-enabled descriptive statistics (mean, variance, covariance, correlation)","['statistics', 'correlation', 'simd', 'variance', 'covariance', 'accumulator']","['C++: 92.1%', 'CMake: 7.0%', 'Nix: 0.9%']",,2,1,10,1,0
heal-research/operon-archive,,[],"['C++: 84.7%', 'Python: 5.9%', 'CMake: 5.0%', 'Jupyter Notebook: 4.1%', 'Nix: 0.3%']",,6,0,0,1,0
heal-research/HEAL.SCS,.NET wrapper for the splitting conic solver,['convex-optimization'],"['C#: 99.6%', 'PowerShell: 0.4%']",,5,0,0,1,0
heal-research/HEAL.CFR,Continued Fraction Regression for .NET,"['symbolic-regression', 'regression-algorithms', 'continued-fractions']",['C#: 100.0%'],,6,0,0,1,0
heal-research/HEAL.VarPro,A C# implementation of variable projection with L1 regularization for separable non-linear least squares,[],"['C#: 98.8%', 'Gnuplot: 1.2%']",,6,1,3,1,0
heal-research/HEAL.Attic,HEAL.Attic is a serialization and persistence framework for .NET. It serializes and deserializes complete object graphs and uses Google Protocol Buffers for compact storage.,[],['C#: 100.0%'],,8,2,11,1,7
heal-research/HEAL.Entities,"Entity focused domain-driven design (DDD) framework containing data access libraries for Excel, RDBMS or the dwh schema variant Data Vault V2.","['domain-driven-design', 'entities', 'epplus', 'entity-framework-core', 'repositories', 'datavault']","['C#: 99.3%', '\n\n\n\nOther\n0.7%\n: Other']","Nov 8, 2020",2,1,3,2,1
heal-research/HEAL.Parsers.DIAdem,C# parser and wrapper methods National Instrument's DIAdem C library (NiLibDdc),[],"['C#: 98.4%', 'PowerShell: 1.6%']","Nov 8, 2020",3,0,2,2,1
heal-research/pappus,Pappus is a modern C++ library for affine arithmetic,[],"['C++: 93.2%', 'Nix: 3.4%', 'CMake: 3.4%']",,2,0,1,1,0
heal-research/HEAL.Bricks,"HEAL.Bricks is a package framework for .NET. It discovers, loads, and executes packages at runtime and supports isolation in separate processes or Docker containers.",[],['C#: 100.0%'],,5,0,2,1,0
heal-research/HeuristicLab,HeuristicLab stable branch,[],"['C#: 98.9%', 'Smalltalk: 0.4%', 'HTML: 0.2%', 'JavaScript: 0.2%', 'TSQL: 0.1%', 'C++: 0.1%', '\n\n\n\nOther\n0.1%\n: Other']",,18,22,55,1,0
heal-research/arPLS,"arPLS algorithm from ""Baseline correction using asymmetrically reweighted penalized least squares smoothing""",[],"['C++: 87.2%', 'HTML: 12.8%']",,3,1,2,2,0
